id,sea_skill,tp_skill
TGS-2008500095,"['Creative Entrepreneurship', 'Creative Thinking']",['Vision Leadership']
TGS-2009500052,"['Health, Safety And Environment Procedures Implementation', 'Joining And Welding', 'Workplace Safety And Health For Welding', 'Workplace Safety And Health']",['Workplace Safety And Health For Welding']
TGS-2009500218,"['Single Stack Medium Forklift Operations', 'Workplace Safety And Health For Forklift Operations', 'Workplace Safety And Health']",['Workplace Safety And Health For Forklift Operations']
TGS-2009500219,"['Rigging And Signalling', 'Workplace Safety And Health']",['Lift Planning And Management']
TGS-2009500223,"['Joining And Welding', 'Workplace Safety And Health For Welding', 'Workplace Safety And Health']",['Workplace Safety And Health For Welding']
TGS-2009500230,"['Scaffolding', 'Erect Metal Scaffold In Marine Industry', 'Workplace Safety And Health', 'Workplace Safety And Health Management In Marine Industry']",['Scaffolding']
TGS-2009500231,['Rigging And Signalling'],['Lift Planning And Management']
TGS-2009501732,"['Workplace Safety And Health For Marine Electrical Installation', 'Workplace Safety And Health', 'Workplace Safety And Health Management In Marine Industry']",['Workplace Safety And Health For Marine Electrical Installation']
TGS-2009501733,"['Workplace Safety And Health For Marine Mechanical Installation', 'Workplace Safety And Health', 'Workplace Safety And Health Management In Marine Industry']",['Workplace Safety And Health For Marine Mechanical Installation']
TGS-2009501734,"['Workplace Safety And Health For Steel Fitting', 'Workplace Safety And Health']",['Workplace Safety And Health For Steel Fitting']
TGS-2009501759,"['Workplace Safety And Health For Marine Electrical Installation', 'Workplace Safety And Health', 'Workplace Safety And Health Management In Marine Industry']",['Workplace Safety And Health For Marine Electrical Installation']
TGS-2010506595,['Computer-Aided Design'],['Computer-Aided Design']
TGS-2010506596,"['Manufacturing Technology', 'Cutting']",['Machining']
TGS-2010506600,"['Computer Numeric Control Operations', 'Machining']",['Computer-Aided Manufacturing']
TGS-2010506767,"['Workplace Safety And Health For Steel Fitting', 'Workplace Safety And Health']",['Workplace Safety And Health For Steel Fitting']
TGS-2011501097,"['Valuation', 'Workplace Health Management']","['Noise And Vibration Monitoring', 'Workplace Health Management', 'Hazardous Substances Management', 'Exposure And Risk Measurement', 'Noise And Vibration Control', 'Biological Hazards Management', 'Hazardous Substances Impact Evaluation', 'Technical Writing', 'Ergonomics Hazards Management', 'Thermal Stressors Management']"
TGS-2012500199,['Business Planning'],['Vision Leadership']
TGS-2012500214,['Self Management'],['Continuous Process Improvement']
TGS-2012500215,['Apply Teamwork In The Workplace'],['Apply Teamwork In The Workplace']
TGS-2012500216,['Workplace Safety And Health'],"['Hazards And Risk Control, And Policy Management']"
TGS-2012500217,['Quality Systems'],['Quality System Management']
TGS-2012500218,"['Practice Supervision', 'Continuous Process Improvement', 'System And Work Process Improvement', 'Process Improvement']",['Continuous Process Improvement']
TGS-2012500220,"['Risk And Compliance Management', 'Risk Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Control And Response Planning', 'Health, Safety And Environment Procedures Implementation', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health']",['Workplace Safety And Health Practices Implementation']
TGS-2012500221,"['Quality Systems', 'Quality Assurance', 'Decision Making', 'Process Quality Management', 'Big Data Analytics']",['Quality System Management']
TGS-2012500788,['Noise And Vibration Monitoring'],['Noise And Vibration Monitoring']
TGS-2012500789,"['Risk Assessment', 'Health, Safety And Nutrition', 'Workplace Health Management']",['Workplace Health Management']
TGS-2012500790,"['Organisational Risk Management', 'Valuation', 'Risk Management']",['Ergonomics Hazards Management']
TGS-2012500793,"['Big Data Analytics', 'Technical Report Writing']",['Technical Writing']
TGS-2012500794,"['Emergency Management', 'Confined Space Management', 'Confined Space Work', 'Perform Manhole Safety Assessment', 'Hazards Identification']",['Confined Space Management']
TGS-2012500868,"['Valuation', 'Confined Space Work', 'Decision Making', 'Workplace Health Management']","['Thermal Stressors Management', 'Confined Space Management', 'Noise And Vibration Monitoring', 'Hazardous Substances Management', 'Workplace Health Management', 'Noise And Vibration Control', 'Hazardous Substances Impact Evaluation', 'Technical Writing', 'Ergonomics Hazards Management', 'Exposure And Risk Measurement']"
TGS-2012500875,"['Risk Management', 'Hazards And Risk Identification And Management']",['Hazardous Substances Management']
TGS-2012500897,"['Valuation', 'Communication', 'Documentation', 'Strategy Development', 'Business Opportunities Development']",['Business Negotiation']
TGS-2012500973,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Control And Response Planning', 'Risk Management And Administration', 'Valuation', 'Risk Assessment', 'Communication', 'Hazard And Risk Identification And Management', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Audit And Compliance', 'Legal And Compliance Management', 'Risk Advisory', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2012500974,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Management And Administration', 'Valuation', 'Communication', 'Risk Assessment', 'Hazard And Risk Identification And Management', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Legal And Compliance Management', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2012500975,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Control And Response Planning', 'Risk Management And Administration', 'Communication', 'Risk Assessment', 'Hazard And Risk Identification And Management', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Legal And Compliance Management', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2012500979,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Management And Administration', 'Communication', 'Risk Assessment', 'Hazard And Risk Identification And Management', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2012500980,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Control And Response Planning', 'Risk Management And Administration', 'Risk Assessment', 'Hazard And Risk Identification And Management', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Legal And Compliance Management', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2012500981,"['Communication', 'Risk Assessment', 'Emergency Management', 'Confined Space Management', 'Confined Space Work', 'Perform Manhole Safety Assessment', 'Emergency Response Planning']",['Confined Space Management']
TGS-2012500983,"['Risk Management', 'Valuation', 'Communication', 'Hazard And Risk Identification And Management', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2012500984,"['Risk Management', 'Risk And Compliance Management', 'Risk Control And Response Planning', 'Risk Management And Administration', 'Communication', 'Risk Assessment', 'Hazard And Risk Identification And Management', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2012500986,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Management And Administration', 'Risk Assessment', 'Workplace Safety And Health']",['Workplace Safety And Health Control Measures']
TGS-2012500990,['Risk Management'],['Workplace Safety And Health Control Measures']
TGS-2012500994,"['Risk Management', 'Risk Management And Administration', 'Risk Assessment']",['Workplace Safety And Health Control Measures']
TGS-2012500995,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Management And Administration', 'Workplace Safety And Health For Incident And Accident Investigation', 'Workplace Safety And Health For Fire Prevention And Fire Fighting', 'Risk Assessment', 'First-Aid', 'Workplace Safety And Health Management In Chemical, Process, Pharmaceutical Industries And Laboratories', 'Fire Prevention And Firefighting', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health']",['Workplace Safety And Health Control Measures']
TGS-2012501003,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Control And Response Planning', 'Risk Management And Administration', 'Communication', 'Risk Assessment', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Legal And Compliance Management']",['Workplace Safety And Health Control Measures']
TGS-2012501004,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Control And Response Planning', 'Risk Management And Administration', 'Risk Assessment', 'Hazard And Risk Identification And Management', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2012501028,"['Risk And Compliance Management', 'Risk Management And Administration', 'Risk Assessment', 'Risk Management']",['Workplace Safety And Health Control Measures']
