,jobId,jt_skills,sea_skills
0,000009d8161d4aad4411418fb6ea679a569068b1eaaf57a25f977bedf3fbc978,"['Budgeting', 'Business Planning', 'Business Requirements Mapping', 'Collateral Management', 'Continuous Improvement Management', 'Customer Acceptance Checking and Onboarding', 'Data Collection and Analysis', 'Data Governance', 'Ethical Culture', 'Financial Statements Review', 'People Performance Management', 'Quality Assurance', 'Regulatory Compliance', 'Risk Management', 'Standard Operating Procedures Development', 'Technology Application']","['apply teamwork in the workplace', 'documentation', 'import and export documentation administration', 'communication']"
1,0000619f20094f852df3d2958bc26b4b8260084e7d43eacacb8275a8c69d9697,"['Air Conditioning and Mechanical Ventilation Systems Maintenance', 'Building Management System Implementation and Control', 'Civil Structure Maintenance', 'Condition-based Assets Monitoring Management', 'Continuous Improvement Management', 'Drainage, Plumbing and Sanitary Systems Maintenance', 'Electrical and Electronic Systems Maintenance', 'Emergency Response Management', 'Engineering Drawing Interpretation and Management', 'Escalator and Travellator Systems Maintenance and Management', 'Facilities Shut-down and Re-start', 'Fire Protection System Maintenance', 'Green Facilities Management', 'Incident and Accident Investigation', 'Integrated Digital Delivery Application', 'Inventory Management', 'Lift Systems Maintenance and Management', 'Quality System Management', 'Robotic and Automation Technology Application', 'Smart Facilities Management', 'Workplace Safety and Health Culture Development', 'Workplace Safety and Health Framework Development and Implementation']","['preventive maintenance management', 'corrective maintenance management', 'workplace safety and health']"
2,000098af8756d0a116600a71b36b6ffb0b9a9f820bea85676fcd9f06f4079858,"['Benefits Management', 'Business Acumen', 'Compensation Management', 'Conduct and Behaviour Management', 'Diversity and Inclusion Management', 'Employee Communication Management', 'Employee Engagement Management', 'Employee Mobility Management', 'Employee Relationship Management', 'Employer Branding', 'Financial Acumen', 'Human Resource Advisory', 'Human Resource Analytics and Insights', 'Human Resource Digitalisation', 'Human Resource Practices Implementation', 'Human Resource Service Quality Management', 'Human Resource Strategy Formulation', 'Involuntary Exit Management', 'Job Analysis and Evaluation', 'Operational Excellence', 'Organisational Change Management', 'Organisational Culture Development', 'Organisational Design', 'Organisational Diagnosis', 'Organisational Strategy Development', 'Performance Management', 'Project Management', 'Risk Management', 'Selection Management', 'Skills Framework Adoption', 'Stakeholder Engagement and Management', 'Strategic Workforce Planning', 'Succession Planning', 'Technology Integration', 'Total Rewards Philosophy Development', 'Voluntary Exit Management']","['interviewing', 'employee relationship management', 'resource management']"
3,0000eeddd08ee773c4b366eb69a2c61ca2ef51af262d273af17d3b6a8d3a1472,"['Brand Portfolio Management', 'Business Performance Management', 'Business Planning', 'Business Presentation Delivery', 'Change Management', 'Conflict Management', 'Continuous Improvement Management', 'Customer Acquisition Management', 'Customer Experience Management', 'Customer Relationship Management', 'Data Analytics', 'Data Mining and Modelling', 'Digital Marketing', 'E-Commerce Campaign Management', 'Effectiveness Management', 'Innovation Management', 'Learning and Development', 'Market Profiling', 'Market Research', 'Marketing Campaign Management', 'Networking', 'Resource Management', 'Service Excellence', 'Social Media Management', 'Solutions Design Thinking', 'Stakeholder Management', 'Systems Thinking Application', 'Technology Integration', 'Vendor Management', 'Website Design', 'Website Performance Management']",['creative thinking']
4,00016b42aab2b50f4c4791b939c3e6d60b8c2accd32d541969ed884f066ae199,"['Applications Development', 'Applications Integration', 'Applications Support and Enhancement', 'Budgeting', 'Business Environment Analysis', 'Business Needs Analysis', 'Business Negotiation', 'Business Requirements Mapping', 'Business Risk Management', 'Change Management', 'Configuration Tracking', 'Data Design', 'Database Administration', 'Emerging Technology Synthesis', 'Performance Management', 'Problem Management', 'Product Management', 'Project Management', 'Quality Standards', 'Software Configuration', 'Software Design', 'Software Testing', 'Solution Architecture', 'Stakeholder Management', 'System Integration', 'Test Planning', 'User Interface Design']","['software testing', 'equipment and systems testing', 'human resource advisory', 'collaboration']"
5,0001775e84c0cfadec973468e2d40595b371d61e2851782fa63010dbf1a2abf3,"['Budgeting', 'Business Development', 'Business Environment Analysis', 'Business Needs Analysis', 'Business Performance Management', 'Customer Experience Management', 'Data Analytics', 'Demand Analysis', 'Design Concepts Generation', 'Design Thinking Practice', 'Emerging Technology Synthesis', 'Market Research', 'Partnership Management', 'Portfolio Management', 'Pricing Strategy', 'Product Management', 'Project Management', 'Stakeholder Management', 'Strategy Implementation', 'User Experience Design', 'User Interface Design']","['marketing strategy', 'stakeholder management', 'effective client communication', 'business environment analysis', 'research', 'adaptability', 'communication']"
6,0001b7157b81bfe005e6bf3a6ceb5d7622a9b7c618260adebeac779f1b93a90f,"['Applications Development', 'Applications Integration', 'Applications Support and Enhancement', 'Budgeting', 'Business Environment Analysis', 'Business Needs Analysis', 'Business Negotiation', 'Business Requirements Mapping', 'Business Risk Management', 'Change Management', 'Configuration Tracking', 'Data Design', 'Database Administration', 'Emerging Technology Synthesis', 'Performance Management', 'Problem Management', 'Product Management', 'Project Management', 'Quality Standards', 'Software Configuration', 'Software Design', 'Software Testing', 'Solution Architecture', 'Stakeholder Management', 'System Integration', 'Test Planning', 'User Interface Design']","['automation research and implementation', 'applications development', 'data protection management', 'research', 'cybersecurity']"
7,0001c2811861b3a261688b9c4ef374425addb8cf0734d1a587322122f2f91f6b,"['Accounting Standards', 'Accounting and Tax Systems', 'Audit Compliance', 'Audit Frameworks', 'Business Acumen', 'Business Innovation and Improvement', 'Business Planning', 'Conflict Management', 'Corporate and Business Law', 'Cost Management', 'Data Analytics', 'Digital Technology Adoption and Innovation', 'Digital Technology Environment Scanning', 'Finance Business Partnering', 'Financial Management', 'Financial Planning', 'Financial Reporting', 'Financial Reporting Quality', 'Financial Statements Analysis', 'Group Accounting and Consolidation', 'Internal Controls', 'Non-Financial Reporting', 'Professional Scepticism and Judgment', 'Professional Standards', 'Professional and Business Ethics', 'Project Management', 'Regulatory Compliance', 'Regulatory Risk Assessment', 'Stakeholder Management', 'Tax Implications', 'Transfer Pricing']","['cost management', 'project cost', 'taxation laws', 'financial reporting', 'internal controls', 'communication']"
8,0001c37420486233caae6cf43b7c035298a910b65f4a69ef3d2ea3f706cc88ca,"['Accounting Standards', 'Accounting and Tax Systems', 'Audit Compliance', 'Audit Frameworks', 'Business Acumen', 'Business Innovation and Improvement', 'Business Planning', 'Conflict Management', 'Corporate and Business Law', 'Cost Management', 'Data Analytics', 'Digital Technology Adoption and Innovation', 'Digital Technology Environment Scanning', 'Finance Business Partnering', 'Financial Management', 'Financial Planning', 'Financial Reporting', 'Financial Reporting Quality', 'Financial Statements Analysis', 'Group Accounting and Consolidation', 'Internal Controls', 'Non-Financial Reporting', 'Professional Scepticism and Judgment', 'Professional Standards', 'Professional and Business Ethics', 'Project Management', 'Regulatory Compliance', 'Regulatory Risk Assessment', 'Stakeholder Management', 'Tax Implications', 'Transfer Pricing']","['cost management', 'e-commerce management', 'legal and compliance management', 'stakeholder management', 'risk assessment', 'communication', 'decision making']"
9,0001d57e0be2a663d01190340c5d3bd3543ca22e6ca83dde0b9cb71bb59a9e04,"['Business Continuity', 'Business Needs Analysis', 'Configuration Tracking', 'Cyber and Data Breach Incident Management', 'IT Asset Management', 'Infrastructure Support', 'Learning and Development', 'Network Administration and Maintenance', 'People and Performance Management', 'Performance Management', 'Problem Management', 'Process Improvement and Optimisation', 'Procurement', 'Project Management', 'Security Administration', 'Security Programme Management', 'Service Level Management', 'Stakeholder Management', 'Strategy Implementation', 'System Integration']",['applications support and enhancement']
